bureau_vote,type_election,annee,tour,commune,nb_inscrits,nb_abstentions,nb_votants,nb_emargements,nb_blanc,nb_nuls,num_bureau,nom_bureau,code_liste_1,voix_liste_1,code_liste_2,voix_liste_2,code_liste_3,voix_liste_3,code_liste_4,voix_liste_4
1,MN,2025,1,48,931,131,800,800,50,50,1,Mairie,1,200,2,300,3,150,4,50
2,MN,2025,1,48,1023,173,850,850,15,10,2,Club Séniors Lavoisier,1,50,2,300,3,475,4,0
3,MN,2025,1,48,987,237,750,750,10,10,3,Espace jeunesse Val Fleury,1,100,2,200,3,300,4,130
4,MN,2025,1,48,1036,236,800,800,10,10,4,Complexe sportif René Leduc,1,150,2,250,3,300,4,80
5,MN,2025,1,48,1006,256,750,750,25,25,5,Ecole élémentaire Jules Ferry,1,100,2,200,3,300,4,100
6,MN,2025,1,48,1041,141,900,900,12,12,6,Ecole élémentaire Jules Ferry,1,176,2,150,3,300,4,250
7,MN,2025,1,48,1032,132,900,900,50,30,7,Ecole maternelle du Centre,1,200,2,300,3,200,4,120
8,MN,2025,1,48,957,157,800,800,20,20,8,Espace culturel Les Sablons,1,200,2,300,3,250,4,10
9,MN,2025,1,48,952,152,800,800,10,2,9,Potager du Dauphin,1,188,2,200,3,300,4,100
10,MN,2025,1,48,943,143,800,800,2,3,10,École élémentaire Charles-Desvergnes,1,95,2,250,3,250,4,200
11,MN,2025,1,48,962,108,854,854,4,4,11,École élémentaire Charles-Desvergnes,1,200,2,200,3,400,4,46
12,MN,2025,1,48,877,227,650,650,5,5,12,Ecole élémentaire Maritain-Renan,1,200,2,200,3,200,4,40
13,MN,2025,1,48,1072,218,854,854,4,0,13,Gymnase Bussière,1,150,2,200,3,350,4,150
14,MN,2025,1,48,933,33,900,900,10,20,14,Gymnase Bussière,1,100,2,200,3,400,4,170
15,MN,2025,1,48,1015,15,1000,1000,2,20,15,Ecole maternelle des Jardies,1,50,2,100,3,400,4,428
16,MN,2025,1,48,973,73,900,900,20,10,16,Ecole maternelle Jean de la Fontaine,1,100,2,200,3,400,4,170
17,MN,2025,1,48,1005,25,980,980,10,10,17,Ecole maternelle Prévert,1,150,2,250,3,400,4,160
18,MN,2025,1,48,931,31,900,900,20,10,18,Ecole maternelle Ravel,1,300,2,200,3,300,4,70
19,MN,2025,1,48,1097,247,850,850,60,10,19,Ecole maternelle La Ruche,1,100,2,200,3,400,4,80
20,MN,2025,1,48,991,91,900,900,20,30,20,Pôle intergénérations,1,400,2,100,3,300,4,50
21,MN,2025,1,48,1014,114,900,900,20,10,21,Ecole maternelle Michel Vignaud,1,50,2,100,3,500,4,220
22,MN,2025,1,48,1012,112,900,900,30,20,22,Ecole élémentaire Auguste Rodin,1,450,2,350,3,25,4,25
23,MN,2025,1,48,895,45,850,850,20,30,23,Ecole maternelle Curie Saint-Exupery,1,300,2,300,3,100,4,100
24,MN,2025,1,48,870,70,800,800,60,50,24,Médiathèque de Meudon-la-Forêt,1,200,2,300,3,100,4,90
25,MN,2025,1,48,922,122,800,800,20,30,25,Ecole élémentaire Camus Pasteur,1,300,2,200,3,200,4,50
26,MN,2025,1,48,798,98,700,700,50,30,26,Ecole élémentaire du Val,1,200,2,300,3,100,4,20
27,MN,2025,1,48,908,8,900,900,20,10,27,Ecole maternelle Paul Bert,1,400,2,300,3,100,4,70
28,MN,2025,1,48,876,76,800,800,20,10,28,Club séniors de la Bonne humeur,1,300,2,250,3,200,4,20
29,MN,2025,1,48,865,65,800,800,15,10,29,Ecole maternelle du Val,1,400,2,250,3,100,4,25
30,MN,2025,1,48,916,16,900,900,10,5,30,Ecole maternelle Charles Perrault,1,450,2,350,3,50,4,35
31,MN,2025,1,48,930,30,900,900,5,3,31,Ecole élémentaire Pierre Brossolette,1,400,2,300,3,100,4,92
32,MN,2025,1,48,874,174,700,700,2,5,32,L'Avant-Seine,1,500,2,100,3,50,4,43
